Category: All categories

Month,twitter: (California),linkedin: (California),tiktok: (California),instagram: (California)
2004-01,0,1,0,0
2004-02,<1,<1,0,0
2004-03,0,0,1,1
2004-04,0,<1,0,0
2004-05,0,0,0,0
2004-06,0,0,0,0
2004-07,0,<1,0,0
2004-08,0,<1,0,0
2004-09,<1,<1,<1,0
2004-10,<1,<1,0,0
2004-11,0,<1,0,<1
2004-12,0,<1,0,0
2005-01,0,<1,0,<1
2005-02,0,<1,0,0
2005-03,<1,<1,0,0
2005-04,0,<1,0,0
2005-05,0,<1,0,0
2005-06,0,<1,0,<1
2005-07,0,<1,0,0
2005-08,0,<1,0,0
2005-09,0,<1,<1,0
2005-10,0,<1,0,0
2005-11,0,<1,<1,0
2005-12,0,<1,0,0
2006-01,0,<1,0,0
2006-02,0,<1,0,<1
2006-03,0,<1,0,0
2006-04,0,<1,0,<1
2006-05,<1,<1,0,0
2006-06,0,1,<1,<1
2006-07,0,1,<1,0
2006-08,<1,1,0,0
2006-09,0,1,0,0
2006-10,<1,1,0,0
2006-11,0,1,0,<1
2006-12,<1,1,<1,<1
2007-01,<1,1,0,0
2007-02,<1,1,<1,0
2007-03,1,1,0,0
2007-04,1,1,0,0
2007-05,1,1,0,<1
2007-06,1,2,0,0
2007-07,1,2,<1,0
2007-08,1,2,0,<1
2007-09,1,2,0,0
2007-10,1,2,0,0
2007-11,1,2,0,<1
2007-12,1,2,0,0
2008-01,1,2,0,<1
2008-02,1,2,0,0
2008-03,1,3,0,0
2008-04,2,3,0,0
2008-05,2,3,<1,<1
2008-06,2,3,<1,0
2008-07,2,3,0,0
2008-08,3,3,0,<1
2008-09,3,3,0,0
2008-10,3,4,0,0
2008-11,4,3,0,0
2008-12,5,3,0,0
2009-01,7,4,<1,0
2009-02,12,5,0,<1
2009-03,22,5,0,0
2009-04,32,5,0,0
2009-05,29,4,0,0
2009-06,39,4,0,0
2009-07,39,4,0,0
2009-08,41,4,<1,0
2009-09,37,4,0,0
2009-10,34,5,0,0
2009-11,32,4,<1,0
2009-12,34,4,<1,0
2010-01,38,5,<1,<1
2010-02,39,5,<1,0
2010-03,40,5,<1,0
2010-04,44,6,<1,0
2010-05,46,6,<1,0
2010-06,51,7,<1,0
2010-07,56,6,<1,0
2010-08,52,6,0,0
2010-09,55,6,<1,<1
2010-10,53,7,<1,<1
2010-11,48,6,<1,<1
2010-12,51,6,<1,<1
2011-01,52,10,<1,<1
2011-02,57,11,<1,<1
2011-03,64,11,<1,1
2011-04,57,10,<1,1
2011-05,59,14,<1,1
2011-06,72,14,0,1
2011-07,71,13,<1,2
2011-08,71,15,<1,2
2011-09,64,14,<1,2
2011-10,63,13,<1,2
2011-11,69,13,<1,3
2011-12,69,12,<1,4
2012-01,71,15,<1,6
2012-02,69,17,<1,7
2012-03,70,16,0,8
2012-04,72,15,<1,20
2012-05,67,15,<1,14
2012-06,77,18,<1,19
2012-07,82,15,0,20
2012-08,76,16,<1,21
2012-09,71,15,0,20
2012-10,73,17,<1,21
2012-11,74,16,0,27
2012-12,77,14,0,32
2013-01,74,18,<1,32
2013-02,71,19,<1,36
2013-03,69,20,<1,40
2013-04,74,20,<1,43
2013-05,71,20,<1,45
2013-06,73,21,<1,51
2013-07,74,20,0,51
2013-08,71,22,0,50
2013-09,70,22,0,48
2013-10,65,21,0,49
2013-11,63,19,0,49
2013-12,61,16,<1,53
2014-01,61,21,<1,52
2014-02,62,21,0,53
2014-03,63,21,0,53
2014-04,64,22,<1,55
2014-05,66,21,<1,61
2014-06,62,22,<1,57
2014-07,63,23,<1,63
2014-08,66,24,0,62
2014-09,59,24,<1,61
2014-10,56,24,0,56
2014-11,54,21,0,58
2014-12,51,19,0,58
2015-01,56,22,<1,59
2015-02,54,24,0,57
2015-03,52,23,<1,56
2015-04,51,24,0,58
2015-05,48,23,0,58
2015-06,53,24,0,58
2015-07,57,26,0,63
2015-08,52,26,<1,61
2015-09,49,24,0,58
2015-10,51,26,0,56
2015-11,47,22,<1,58
2015-12,46,21,0,62
2016-01,50,21,0,60
2016-02,52,23,0,61
2016-03,50,23,<1,64
2016-04,48,21,<1,62
2016-05,48,22,0,63
2016-06,53,24,<1,65
2016-07,57,20,0,68
2016-08,49,21,0,66
2016-09,46,21,0,61
2016-10,55,20,0,60
2016-11,53,18,0,61
2016-12,45,17,0,65
2017-01,56,23,0,65
2017-02,55,22,<1,66
2017-03,52,22,0,67
2017-04,45,19,<1,68
2017-05,50,19,<1,69
2017-06,52,20,0,71
2017-07,51,19,0,76
2017-08,51,20,0,72
2017-09,46,18,0,66
2017-10,47,19,0,67
2017-11,45,18,<1,67
2017-12,44,14,0,70
2018-01,49,18,0,72
2018-02,47,19,<1,75
2018-03,46,19,<1,75
2018-04,49,19,<1,79
2018-05,48,18,<1,78
2018-06,46,18,<1,84
2018-07,47,18,<1,86
2018-08,47,19,<1,85
2018-09,46,18,<1,83
2018-10,45,18,<1,79
2018-11,42,16,1,79
2018-12,47,14,1,82
2019-01,46,19,1,86
2019-02,46,18,1,81
2019-03,44,18,1,87
2019-04,43,19,1,83
2019-05,46,19,1,83
2019-06,47,21,2,93
2019-07,50,20,2,100
2019-08,47,20,2,93
2019-09,47,20,10,85
2019-10,51,20,3,83
2019-11,47,17,4,78
2019-12,45,15,5,82
2020-01,51,19,8,84
2020-02,50,20,9,77
2020-03,55,16,13,77
2020-04,51,17,19,84
2020-05,56,17,19,84
2020-06,70,19,18,85
2020-07,65,19,25,81
2020-08,62,18,28,81
2020-09,59,16,27,77
2020-10,69,13,19,76
2020-11,89,11,18,71
2020-12,60,11,21,74
