Category: All categories

Month,twitter: (United States),linkedin: (United States),tiktok: (United States),instagram: (United States)
2004-01,0,<1,<1,<1
2004-02,0,<1,0,0
2004-03,0,<1,0,<1
2004-04,0,<1,<1,0
2004-05,<1,<1,0,0
2004-06,0,<1,0,0
2004-07,0,<1,0,0
2004-08,<1,<1,0,0
2004-09,<1,<1,<1,0
2004-10,0,<1,0,0
2004-11,<1,<1,0,<1
2004-12,0,<1,0,0
2005-01,<1,<1,0,0
2005-02,<1,<1,0,0
2005-03,0,<1,<1,0
2005-04,0,<1,<1,0
2005-05,0,<1,<1,0
2005-06,0,<1,0,0
2005-07,0,<1,0,0
2005-08,0,<1,0,0
2005-09,<1,<1,<1,0
2005-10,0,<1,0,<1
2005-11,<1,<1,0,0
2005-12,0,<1,0,<1
2006-01,<1,<1,0,0
2006-02,<1,<1,0,<1
2006-03,<1,<1,0,<1
2006-04,0,<1,0,<1
2006-05,<1,<1,0,0
2006-06,0,<1,0,0
2006-07,0,<1,0,0
2006-08,<1,<1,0,<1
2006-09,<1,<1,<1,0
2006-10,0,<1,<1,0
2006-11,<1,<1,0,<1
2006-12,<1,<1,<1,0
2007-01,<1,1,0,0
2007-02,<1,1,0,<1
2007-03,1,1,0,0
2007-04,1,1,<1,<1
2007-05,1,1,0,0
2007-06,1,1,0,0
2007-07,1,1,<1,0
2007-08,1,2,0,0
2007-09,1,1,0,0
2007-10,1,2,0,0
2007-11,1,2,0,0
2007-12,1,2,0,<1
2008-01,1,2,0,0
2008-02,1,2,0,0
2008-03,1,2,0,0
2008-04,2,2,0,0
2008-05,2,3,0,0
2008-06,2,3,<1,0
2008-07,3,3,0,0
2008-08,3,3,0,0
2008-09,3,3,<1,<1
2008-10,4,3,0,<1
2008-11,5,3,<1,0
2008-12,6,3,0,0
2009-01,8,5,0,0
2009-02,15,5,0,0
2009-03,32,6,0,<1
2009-04,42,5,0,0
2009-05,38,5,<1,<1
2009-06,45,5,0,0
2009-07,47,5,0,0
2009-08,45,5,0,0
2009-09,41,5,0,0
2009-10,41,6,<1,<1
2009-11,37,5,<1,0
2009-12,38,5,<1,0
2010-01,41,6,<1,0
2010-02,43,6,<1,0
2010-03,44,7,<1,0
2010-04,45,7,<1,0
2010-05,50,7,<1,0
2010-06,50,8,<1,0
2010-07,53,8,<1,0
2010-08,57,8,<1,0
2010-09,57,8,<1,<1
2010-10,54,9,<1,<1
2010-11,52,8,<1,<1
2010-12,53,8,<1,<1
2011-01,56,11,<1,<1
2011-02,64,12,<1,<1
2011-03,69,13,<1,<1
2011-04,65,11,<1,<1
2011-05,67,12,<1,1
2011-06,79,14,<1,1
2011-07,80,14,<1,1
2011-08,79,14,<1,1
2011-09,78,15,<1,1
2011-10,75,14,<1,1
2011-11,81,14,<1,2
2011-12,88,14,<1,3
2012-01,86,17,<1,5
2012-02,88,17,<1,6
2012-03,90,16,<1,7
2012-04,93,16,<1,20
2012-05,87,16,<1,15
2012-06,94,21,<1,18
2012-07,100,16,<1,20
2012-08,96,17,<1,21
2012-09,92,15,<1,20
2012-10,98,18,<1,21
2012-11,100,17,<1,26
2012-12,92,15,<1,32
2013-01,98,21,<1,31
2013-02,96,21,<1,35
2013-03,88,21,<1,40
2013-04,97,22,<1,41
2013-05,90,23,<1,42
2013-06,92,22,<1,49
2013-07,92,24,<1,51
2013-08,94,25,0,50
2013-09,83,21,<1,47
2013-10,79,21,<1,45
2013-11,81,20,<1,48
2013-12,79,17,<1,51
2014-01,78,21,<1,52
2014-02,85,21,<1,49
2014-03,81,22,<1,51
2014-04,73,22,<1,51
2014-05,78,21,0,58
2014-06,77,22,<1,56
2014-07,78,24,<1,63
2014-08,75,23,<1,62
2014-09,71,23,0,57
2014-10,67,23,<1,52
2014-11,66,21,<1,56
2014-12,67,19,<1,60
2015-01,69,21,<1,58
2015-02,69,22,<1,54
2015-03,63,23,<1,54
2015-04,64,24,<1,57
2015-05,62,23,<1,55
2015-06,63,25,<1,57
2015-07,66,26,<1,62
2015-08,66,25,0,58
2015-09,58,23,0,55
2015-10,61,26,<1,56
2015-11,58,22,<1,53
2015-12,56,20,<1,60
2016-01,61,21,0,60
2016-02,64,23,<1,57
2016-03,61,22,<1,58
2016-04,58,21,<1,56
2016-05,57,23,<1,59
2016-06,63,24,<1,61
2016-07,65,20,0,65
2016-08,58,22,0,61
2016-09,57,21,<1,59
2016-10,65,19,<1,56
2016-11,62,18,<1,58
2016-12,53,16,<1,63
2017-01,66,20,<1,66
2017-02,64,20,<1,61
2017-03,59,20,<1,65
2017-04,53,17,<1,66
2017-05,57,19,<1,65
2017-06,61,18,<1,67
2017-07,59,17,<1,68
2017-08,59,19,<1,67
2017-09,56,17,0,61
2017-10,53,18,0,63
2017-11,53,16,<1,63
2017-12,53,14,<1,68
2018-01,59,17,<1,70
2018-02,57,17,<1,71
2018-03,56,18,<1,69
2018-04,59,17,<1,72
2018-05,56,17,<1,73
2018-06,55,18,<1,81
2018-07,57,17,<1,83
2018-08,56,17,<1,80
2018-09,58,17,<1,77
2018-10,53,17,<1,75
2018-11,50,15,1,73
2018-12,50,13,1,80
2019-01,58,17,1,82
2019-02,57,17,1,75
2019-03,54,16,1,83
2019-04,52,17,1,81
2019-05,53,18,1,81
2019-06,55,19,2,87
2019-07,55,18,2,99
2019-08,55,18,3,86
2019-09,56,18,16,81
2019-10,57,17,4,82
2019-11,53,16,5,74
2019-12,56,14,7,81
2020-01,61,18,10,82
2020-02,59,18,11,74
2020-03,63,15,15,78
2020-04,61,15,22,81
2020-05,65,15,21,81
2020-06,79,17,21,85
2020-07,70,17,29,77
2020-08,66,16,31,75
2020-09,65,15,32,73
2020-10,77,14,22,73
2020-11,100,11,22,68
2020-12,74,11,23,72
